dataset_group,fold,dataset,anchor,anchor_mean_abs_corr_delta,anchor_target_corr_real,anchor_target_corr_synthetic,anchor_target_corr_delta
vigitel,2,S0_A0_realism_only,ati_livre,0.09922765803404772,-0.06719056559288977,-0.005239572897699006,0.06195099269519077
vigitel,2,S0_A0_realism_only,diab,0.07161448117090821,0.1282722146357001,0.023130803946440404,0.1051414106892597
vigitel,2,S0_A0_realism_only,hart,0.09412140565499089,0.17873219399552812,0.015227753563053064,0.16350444043247506
vigitel,2,S0_A0_realism_only,dislipidemia,0.08422049344056877,0.025020891644273145,-0.027733680094463548,0.0527545717387367
vigitel,2,S0_A0_realism_only,doces5,0.11414250955361975,0.017393994629545197,0.0001179732733891745,0.017276021356156024
vigitel,2,S0_A0_realism_only,lanche_7,0.11808382096157234,0.018858992502001775,-0.023559485127622088,0.04241847762962386
vigitel,2,S0_A0_realism_only,gordura,0.11008263527012141,-0.02360216508094405,-0.005075206387121585,0.018526958693822468
vigitel,2,S0_A0_realism_only,flvreg,0.05915973639227119,-0.018440763546616057,-0.08016136236596243,0.06172059881934637
vigitel,2,S0_A0_realism_only,years_schooling,0.08186618541849323,-0.048903780934657255,0.00808505972988351,0.05698884066454077
vigitel,2,S1_A0_sep_only,age,0.11808760876309224,0.09145825760141449,-0.033937120296796894,0.12539537789821137
vigitel,2,S1_A0_sep_only,sex,0.07328899000021588,-0.03590814054136203,-0.20057194535840084,0.1646638048170388
