dataset_group,condition,attribute_1,attribute_2,spearman_rho,signed_correlation_percent,absolute_correlation_percent,rho_squared_percent
covid,S0_A1_anchor_only,sexo,comorb_reumatologica,-0.02992551405848754,-2.9925514058487543,2.9925514058487543,0.08955363916647355
covid,S0_A1_anchor_only,sexo,comorb_cirrose,-0.026251839340552818,-2.625183934055282,2.625183934055282,0.06891590687621967
covid,S0_A1_anchor_only,sexo,comorb_hiv,0.005759550988399666,0.5759550988399667,0.5759550988399667,0.003317242758797557
covid,S0_A1_anchor_only,sexo,obito,0.007284154326757835,0.7284154326757836,0.7284154326757836,0.00530589042560249
covid,S0_A1_anchor_only,etilismo,tabagismo,0.010793296711570208,1.0793296711570208,1.0793296711570208,0.011649525390399228
covid,S0_A1_anchor_only,etilismo,motivo_cancer,-0.051652102320092264,-5.165210232009226,5.165210232009226,0.26679396740852807
covid,S0_A1_anchor_only,etilismo,motivo_msk,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,etilismo,motivo_digestivo2,0.027662404465788232,2.766240446578823,2.766240446578823,0.07652086208288607
covid,S0_A1_anchor_only,etilismo,motivo_cardio2,-0.014993675738077106,-1.4993675738077106,1.4993675738077106,0.022481031213860206
covid,S0_A1_anchor_only,etilismo,motivo_procedimentos2,-0.03417616920843079,-3.4176169208430793,3.4176169208430793,0.1168010541763293
covid,S0_A1_anchor_only,etilismo,motivo_lesao2,0.09392599819859862,9.392599819859862,9.392599819859862,0.8822093137603151
covid,S0_A1_anchor_only,etilismo,motivo_respiratorio,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,etilismo,motivo_neuro,0.0005047363976363621,0.05047363976363621,0.05047363976363621,2.5475883109893185e-05
covid,S0_A1_anchor_only,etilismo,motivo_pele,-0.02746072408521642,-2.746072408521642,2.746072408521642,0.0754091367284385
covid,S0_A1_anchor_only,etilismo,motivo_genitourinaria,-0.03903050884504148,-3.903050884504148,3.903050884504148,0.15233806207028613
covid,S0_A1_anchor_only,etilismo,motivo_dm,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,etilismo,motivo_mental_subst,0.010204217547439571,1.0204217547439571,1.0204217547439571,0.010412605575547365
covid,S0_A1_anchor_only,etilismo,motivo_infec2,-0.07430967059562825,-7.430967059562825,7.430967059562825,0.5521927144030778
covid,S0_A1_anchor_only,etilismo,motivo_propedeutica,0.029649972666444046,2.9649972666444047,2.9649972666444047,0.0879120879120879
covid,S0_A1_anchor_only,etilismo,n_comorbidades,-0.04521174931569589,-4.521174931569589,4.521174931569589,0.20441022761853275
covid,S0_A1_anchor_only,etilismo,comorb_hipertensao,-0.018131380242694416,-1.8131380242694415,1.8131380242694415,0.03287469495051694
covid,S0_A1_anchor_only,etilismo,comorb_ic,-0.037524323143965706,-3.7524323143965708,3.7524323143965708,0.14080748274127602
covid,S0_A1_anchor_only,etilismo,comorb_dac,-0.02368581326679687,-2.368581326679687,2.368581326679687,0.05610177501095706
covid,S0_A1_anchor_only,etilismo,comorb_fibrilacao,-0.031478660436924495,-3.1478660436924497,3.1478660436924497,0.09909060629031954
covid,S0_A1_anchor_only,etilismo,comorb_avc,-0.05160061995526517,-5.160061995526517,5.160061995526517,0.26626239797677104
covid,S0_A1_anchor_only,etilismo,comorb_dpoc,0.023193620012357103,2.31936200123571,2.31936200123571,0.05379440092776119
covid,S0_A1_anchor_only,etilismo,comorb_asma,-0.005126688580743841,-0.5126688580743841,0.5126688580743841,0.0026282935803929298
covid,S0_A1_anchor_only,etilismo,comorb_dm,-0.05476144707469581,-5.476144707469581,5.476144707469581,0.299881608571471
covid,S0_A1_anchor_only,etilismo,comorb_obesidade,-0.031186828336823347,-3.1186828336823345,3.1186828336823345,0.09726182617104877
covid,S0_A1_anchor_only,etilismo,comorb_drc,-0.030671692758527224,-3.0671692758527223,3.0671692758527223,0.09407527366734914
covid,S0_A1_anchor_only,etilismo,comorb_cancer,-0.049201681431529275,-4.920168143152927,4.920168143152927,0.24208054556896924
covid,S0_A1_anchor_only,etilismo,comorb_reumatologica,-0.010392291518406972,-1.039229151840697,1.039229151840697,0.010799972300355348
covid,S0_A1_anchor_only,etilismo,comorb_cirrose,0.04307647356722979,4.3076473567229785,4.3076473567229785,0.18555825749882465
covid,S0_A1_anchor_only,etilismo,comorb_hiv,-0.02049091059641068,-2.049091059641068,2.049091059641068,0.04198774170700954
covid,S0_A1_anchor_only,etilismo,obito,-0.043358479358830686,-4.335847935883068,4.335847935883068,0.18799577323101466
covid,S0_A1_anchor_only,tabagismo,motivo_cancer,-0.038145709867900654,-3.8145709867900655,3.8145709867900655,0.14550951813260535
covid,S0_A1_anchor_only,tabagismo,motivo_msk,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,tabagismo,motivo_digestivo2,-0.04837521967622843,-4.837521967622843,4.837521967622843,0.23401618787233583
covid,S0_A1_anchor_only,tabagismo,motivo_cardio2,0.07630820423613577,7.630820423613577,7.630820423613577,0.5822942033743809
covid,S0_A1_anchor_only,tabagismo,motivo_procedimentos2,-0.005572669349956311,-0.5572669349956311,0.5572669349956311,0.0031054643683942496
covid,S0_A1_anchor_only,tabagismo,motivo_lesao2,-0.05309484784335814,-5.309484784335814,5.309484784335814,0.28190628675093526
covid,S0_A1_anchor_only,tabagismo,motivo_respiratorio,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,tabagismo,motivo_neuro,-0.050845618291032416,-5.084561829103242,5.084561829103242,0.258527689939737
covid,S0_A1_anchor_only,tabagismo,motivo_pele,-0.013801425090772207,-1.3801425090772206,1.3801425090772206,0.019047933453619662
covid,S0_A1_anchor_only,tabagismo,motivo_genitourinaria,-0.04259487771553839,-4.259487771553839,4.259487771553839,0.1814323607601669
covid,S0_A1_anchor_only,tabagismo,motivo_dm,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,tabagismo,motivo_mental_subst,-0.017471571331740564,-1.7471571331740563,1.7471571331740563,0.030525580480009872
covid,S0_A1_anchor_only,tabagismo,motivo_infec2,-0.039626110811533374,-3.9626110811533373,3.9626110811533373,0.15702286580479222
covid,S0_A1_anchor_only,tabagismo,motivo_propedeutica,-0.010585122480499264,-1.0585122480499265,1.0585122480499265,0.01120448179271709
covid,S0_A1_anchor_only,tabagismo,n_comorbidades,-0.04296075958607486,-4.296075958607486,4.296075958607486,0.18456268642125234
covid,S0_A1_anchor_only,tabagismo,comorb_hipertensao,-0.012324149696097159,-1.232414969609716,1.232414969609716,0.015188466573181169
covid,S0_A1_anchor_only,tabagismo,comorb_ic,-0.07434127006020409,-7.434127006020409,7.434127006020409,0.5526624434164198
covid,S0_A1_anchor_only,tabagismo,comorb_dac,0.028065678285648144,2.8065678285648143,2.8065678285648143,0.07876822976335018
