prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.15,0.4,high,4,SepAware-SMOTE,LogisticRegression,0.319723721242948,0.560162413257419,0.33217993079584773
0.15,0.4,high,4,SepAware-SMOTE,RandomForest,0.6080419837911509,0.6864063089228652,0.44755244755244755
0.15,0.4,high,5,Real only,LogisticRegression,0.2138265263534336,0.45652173913043476,0.0
0.15,0.4,high,5,Real only,RandomForest,0.5274381232255905,0.5942132634737521,0.2689075630252101
0.15,0.4,high,5,Random oversampling,LogisticRegression,0.20293982296655994,0.5073778830333223,0.31607629427792916
0.15,0.4,high,5,Random oversampling,RandomForest,0.5660048432195991,0.6994142431404788,0.47297297297297297
0.15,0.4,high,5,SMOTE,LogisticRegression,0.19161514941214977,0.51522843469813,0.32697547683923706
0.15,0.4,high,5,SMOTE,RandomForest,0.5648956106810519,0.7259699856537227,0.5355191256830601
0.15,0.4,high,5,SepAware-SMOTE,LogisticRegression,0.20010644835840236,0.5090892561927818,0.3037249283667622
0.15,0.4,high,5,SepAware-SMOTE,RandomForest,0.5107336752707254,0.6839995889425547,0.44594594594594594
0.15,0.4,high,6,Real only,LogisticRegression,0.35454100087920853,0.5081036766096992,0.09900990099009901
0.15,0.4,high,6,Real only,RandomForest,0.716121567484681,0.6659880391907367,0.39655172413793105
0.15,0.4,high,6,Random oversampling,LogisticRegression,0.25482726463419425,0.5251456939348155,0.3185840707964602
0.15,0.4,high,6,Random oversampling,RandomForest,0.6849789713417987,0.7355555706236142,0.5323741007194245
0.15,0.4,high,6,SMOTE,LogisticRegression,0.270595280772988,0.5175567250452937,0.3044776119402985
0.15,0.4,high,6,SMOTE,RandomForest,0.5956773892925786,0.7556782191656863,0.5813953488372093
0.15,0.4,high,6,SepAware-SMOTE,LogisticRegression,0.3011194474901985,0.551337359792925,0.3157894736842105
0.15,0.4,high,6,SepAware-SMOTE,RandomForest,0.6757482434982727,0.7586191482704232,0.5771812080536913
0.15,0.4,high,7,Real only,LogisticRegression,0.4782790803474144,0.5606985963784421,0.19607843137254902
0.15,0.4,high,7,Real only,RandomForest,0.6964112299550352,0.594702054706672,0.2616822429906542
0.15,0.4,high,7,Random oversampling,LogisticRegression,0.3725165557072357,0.5840348618401505,0.391304347826087
0.15,0.4,high,7,Random oversampling,RandomForest,0.7365093412051514,0.7635521445045255,0.5850340136054422
0.15,0.4,high,7,SMOTE,LogisticRegression,0.392666844984627,0.585340180536506,0.3925233644859813
0.15,0.4,high,7,SMOTE,RandomForest,0.6839734977773452,0.7755355429166282,0.6187845303867403
0.15,0.4,high,7,SepAware-SMOTE,LogisticRegression,0.3978024526473451,0.6011835353370379,0.3944636678200692
0.15,0.4,high,7,SepAware-SMOTE,RandomForest,0.717464288283006,0.7379508786352893,0.5405405405405406
0.15,0.4,high,8,Real only,LogisticRegression,0.3796844890776384,0.45701357466063347,0.0
0.15,0.4,high,8,Real only,RandomForest,0.7298286804752114,0.6141039314179646,0.3008849557522124
0.15,0.4,high,8,Random oversampling,LogisticRegression,0.26219776389953614,0.4938181818181818,0.304
0.15,0.4,high,8,Random oversampling,RandomForest,0.7163118505451991,0.7711489898989898,0.5972222222222222
0.15,0.4,high,8,SMOTE,LogisticRegression,0.27455568945044523,0.4984009872742473,0.29608938547486036
0.15,0.4,high,8,SMOTE,RandomForest,0.6712420930874584,0.7647179172420848,0.5964912280701754
0.15,0.4,high,8,SepAware-SMOTE,LogisticRegression,0.3193866346120881,0.513996622688395,0.30177514792899407
0.15,0.4,high,8,SepAware-SMOTE,RandomForest,0.7130697845485336,0.7662820324523145,0.5906040268456376
0.15,0.4,high,9,Real only,LogisticRegression,0.323796236767078,0.45701357466063347,0.0
0.15,0.4,high,9,Real only,RandomForest,0.5382031086741244,0.5681632045268409,0.21621621621621623
0.15,0.4,high,9,Random oversampling,LogisticRegression,0.2801304737098328,0.48412698412698413,0.2777777777777778
0.15,0.4,high,9,Random oversampling,RandomForest,0.5304290971436784,0.66277109134252,0.40816326530612246
0.15,0.4,high,9,SMOTE,LogisticRegression,0.27076872367568716,0.4720504005416881,0.2670299727520436
0.15,0.4,high,9,SMOTE,RandomForest,0.48074998557592896,0.6487804878048781,0.4
0.15,0.4,high,9,SepAware-SMOTE,LogisticRegression,0.32290547141973663,0.49865603575850925,0.2905982905982906
0.15,0.4,high,9,SepAware-SMOTE,RandomForest,0.5042178430282116,0.6782758687520593,0.43537414965986393
0.15,1.0,moderate,0,Real only,LogisticRegression,0.4486087622285313,0.5433985173277698,0.16822429906542055
0.15,1.0,moderate,0,Real only,RandomForest,0.7986611289584356,0.7595090667846085,0.5735294117647058
0.15,1.0,moderate,0,Random oversampling,LogisticRegression,0.3966673330810098,0.6299342105263158,0.4473684210526316
0.15,1.0,moderate,0,Random oversampling,RandomForest,0.8186136476356299,0.8461932837733914,0.7349397590361446
0.15,1.0,moderate,0,SMOTE,LogisticRegression,0.3751658596504986,0.6371627900116521,0.45695364238410596
0.15,1.0,moderate,0,SMOTE,RandomForest,0.8146201871054295,0.848033725256232,0.7398843930635838
0.15,1.0,moderate,0,SepAware-SMOTE,LogisticRegression,0.40909761913000714,0.6567545795243599,0.4731182795698925
0.15,1.0,moderate,0,SepAware-SMOTE,RandomForest,0.8035332441629658,0.8559508124725516,0.7515151515151515
0.15,1.0,moderate,1,Real only,LogisticRegression,0.5530373151104453,0.6860282574568289,0.4489795918367347
0.15,1.0,moderate,1,Real only,RandomForest,0.7404919084170121,0.7461721116842708,0.5507246376811594
0.15,1.0,moderate,1,Random oversampling,LogisticRegression,0.5307772640176089,0.6448748991121873,0.47619047619047616
0.15,1.0,moderate,1,Random oversampling,RandomForest,0.7384305404342537,0.8142634419798391,0.6820809248554913
0.15,1.0,moderate,1,SMOTE,LogisticRegression,0.5182638632588784,0.6418379826451576,0.4675324675324675
0.15,1.0,moderate,1,SMOTE,RandomForest,0.7020055789271411,0.7755728797543113,0.6274509803921569
0.15,1.0,moderate,1,SepAware-SMOTE,LogisticRegression,0.5486365287418209,0.6814781947261663,0.5073529411764706
0.15,1.0,moderate,1,SepAware-SMOTE,RandomForest,0.6959156665365065,0.7808835378613538,0.6227544910179641
0.15,1.0,moderate,2,Real only,LogisticRegression,0.8153628069339907,0.8544645656713857,0.7484662576687117
0.15,1.0,moderate,2,Real only,RandomForest,0.9089330631679335,0.8476190476190476,0.7333333333333333
0.15,1.0,moderate,2,Random oversampling,LogisticRegression,0.7869191793889491,0.7995639637105281,0.6779661016949152
0.15,1.0,moderate,2,Random oversampling,RandomForest,0.9140608636407764,0.9088202351537392,0.8439306358381503
0.15,1.0,moderate,2,SMOTE,LogisticRegression,0.7971527925613254,0.8125602727383857,0.6960352422907489
0.15,1.0,moderate,2,SMOTE,RandomForest,0.8943197656541693,0.9121660820108546,0.850828729281768
0.15,1.0,moderate,2,SepAware-SMOTE,LogisticRegression,0.8202655086369536,0.8451346468209584,0.7411167512690355
0.15,1.0,moderate,2,SepAware-SMOTE,RandomForest,0.912314089459956,0.8786840790694355,0.7901234567901234
0.15,1.0,moderate,3,Real only,LogisticRegression,0.7881487754068737,0.8295760850032752,0.7065868263473054
0.15,1.0,moderate,3,Real only,RandomForest,0.8703654002241833,0.8522717946451682,0.7417218543046358
0.15,1.0,moderate,3,Random oversampling,LogisticRegression,0.7723809820970671,0.8302352699087729,0.7295081967213115
0.15,1.0,moderate,3,Random oversampling,RandomForest,0.8784675768563811,0.9171595672415793,0.8587570621468926
0.15,1.0,moderate,3,SMOTE,LogisticRegression,0.7779765979700531,0.8470356565159294,0.7542372881355932
0.15,1.0,moderate,3,SMOTE,RandomForest,0.8722544753808895,0.891033058494492,0.8167539267015707
0.15,1.0,moderate,3,SepAware-SMOTE,LogisticRegression,0.7820539464051889,0.8658618376928235,0.7793427230046949
0.15,1.0,moderate,3,SepAware-SMOTE,RandomForest,0.8769443624126744,0.9011133275365284,0.8304093567251462
0.15,1.0,moderate,4,Real only,LogisticRegression,0.516710014071068,0.6441497612457799,0.36065573770491804
0.15,1.0,moderate,4,Real only,RandomForest,0.7595409503276603,0.8045964533617711,0.6577181208053692
0.15,1.0,moderate,4,Random oversampling,LogisticRegression,0.47867036321512674,0.6094088074927282,0.40955631399317405
0.15,1.0,moderate,4,Random oversampling,RandomForest,0.7648213250298354,0.8252335820393897,0.7011494252873564
0.15,1.0,moderate,4,SMOTE,LogisticRegression,0.48795251695187947,0.6259279194854379,0.42704626334519574
0.15,1.0,moderate,4,SMOTE,RandomForest,0.7649194846724983,0.829703136826171,0.7127659574468085
0.15,1.0,moderate,4,SepAware-SMOTE,LogisticRegression,0.49724963419974877,0.6456958847194667,0.43724696356275305
0.15,1.0,moderate,4,SepAware-SMOTE,RandomForest,0.7647819791067911,0.8131309121776356,0.6751592356687898
0.15,1.0,moderate,5,Real only,LogisticRegression,0.4008375242136531,0.5568995405747869,0.20168067226890757
