dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Kidney mortality,0,2,42,116,SepAware CTGAN,7572,1000,0.5,0.053,LogisticRegression,0.5075239398084815,0.12093023255813953,0.08024691358024691,0.24528301886792453,0.5439720268574048,0.0929873879575082,0.602498455898468,0.15414594269069284,-2.699347365616335,0.17654563142848254
Kidney mortality,0,2,42,116,SepAware CTGAN,7572,1000,0.5,0.053,RandomForest,0.5342671873320675,0.11650485436893204,0.12,0.11320754716981132,0.5333725169851169,0.1077582564948829,0.7237154071447073,0.07209417505525445,-1.8357736846329238,0.5193846718736569
Kidney mortality,0,2,42,116,SepAware CTGAN,7572,1000,0.5,0.053,CatBoost,0.5404411764705883,0.125,0.13953488372093023,0.11320754716981132,0.5370683987169015,0.10907446329527774,0.719621047598175,0.06544658873675516,-1.7345691212039998,0.5173006759276376
Kidney mortality,0,2,42,116,Standard TVAE,7572,1000,0.5,0.053,LogisticRegression,0.5280720984045792,0.08823529411764706,0.2,0.05660377358490566,0.521966089537965,0.10022790635618926,0.5971987009623239,0.057682751143784385,-2.5680462212408135,0.08951745074639307
Kidney mortality,0,2,42,116,Standard TVAE,7572,1000,0.5,0.053,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.1404106880046553,0.7316451156581857,0.04815060212015107,-0.4499321089535093,0.870335716206703
Kidney mortality,0,2,42,116,Standard TVAE,7572,1000,0.5,0.053,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.49947201689545934,0.13593612560850177,0.7244525911019905,0.04887321774512303,-0.40074264128277903,0.8636183022529935
Kidney mortality,0,2,42,116,SepAware TVAE,7572,1000,0.5,0.053,LogisticRegression,0.5389580451821115,0.1111111111111111,0.21052631578947367,0.07547169811320754,0.529816102488494,0.10489244130099323,0.6006455340598913,0.05809609887066185,-2.5578770965065805,0.09212279668664494
Kidney mortality,0,2,42,116,SepAware TVAE,7572,1000,0.5,0.053,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.14345207486142741,0.7419258432786755,0.04807664833078021,-0.45841350417161886,0.8680204748160982
Kidney mortality,0,2,42,116,SepAware TVAE,7572,1000,0.5,0.053,CatBoost,0.48586118251928023,0.0,0.0,0.0,0.4989440337909187,0.12205709000391066,0.716164252555239,0.049736861801642454,-0.6530825064589231,0.7672139635507906
Kidney mortality,0,3,42,153,Real only,4000,1000,0.05325,0.054,LogisticRegression,0.48612538540596095,0.0,0.0,0.0,0.5,0.12654341827923138,0.7198144233027954,0.04968770414559537,0.3373996129203627,1.1098162571287884
Kidney mortality,0,3,42,153,Real only,4000,1000,0.05325,0.054,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.5,0.1005373002696984,0.6561349933442957,0.05124833640040478,-1.3528587171075148,0.47594181114713474
Kidney mortality,0,3,42,153,Real only,4000,1000,0.05325,0.054,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.5,0.11427136252853153,0.6957951609114399,0.050577923174639536,-0.6208056930759815,0.7446970162327798
Kidney mortality,0,3,42,153,Class weighting,4000,1000,0.05325,0.054,LogisticRegression,0.503879458052241,0.18487394957983194,0.10891089108910891,0.6111111111111112,0.6628494244773315,0.11754663190627075,0.7159384543105471,0.21492605882263854,-2.8273049798668546,0.9021801049734196
Kidney mortality,0,3,42,153,Class weighting,4000,1000,0.05325,0.054,RandomForest,0.5392412839809553,0.11764705882352941,0.16129032258064516,0.09259259259259259,0.5325542244146896,0.08511816755689548,0.5956855375460026,0.08761001801701954,-2.2723214279862622,0.416162374014887
Kidney mortality,0,3,42,153,Class weighting,4000,1000,0.05325,0.054,CatBoost,0.5337142857142857,0.184,0.11734693877551021,0.42592592592592593,0.6215253308276565,0.11301666518467682,0.6747905410696109,0.15633887969408203,-2.5218500477772507,0.6869865483646321
Kidney mortality,0,3,42,153,Random oversampling,7574,1000,0.5,0.054,LogisticRegression,0.5057355273184093,0.1864406779661017,0.11,0.6111111111111112,0.6644350481559784,0.11927408475379447,0.718816067653277,0.21525706073785308,-2.8290119374833447,0.9153419538912227
Kidney mortality,0,3,42,153,Random oversampling,7574,1000,0.5,0.054,RandomForest,0.5433052704417023,0.1391304347826087,0.13114754098360656,0.14814814814814814,0.5460613890846449,0.09006175521373855,0.6182170542635659,0.1000313975837777,-2.34961365153448,0.38137911461095525
Kidney mortality,0,3,42,153,Random oversampling,7574,1000,0.5,0.054,CatBoost,0.5332842053549496,0.17391304347826086,0.11363636363636363,0.37037037037037035,0.6027327538955446,0.09963609682827927,0.6753190822958264,0.14400688849521687,-2.4665033441041406,0.588205048271929
Kidney mortality,0,3,42,153,Random undersampling,426,1000,0.5,0.054,LogisticRegression,0.4895698904019878,0.17616580310880828,0.10240963855421686,0.6296296296296297,0.6573095294025526,0.09285644990641559,0.6845783415550857,0.2260037590017844,-2.8309424882858463,0.7066636376961805
Kidney mortality,0,3,42,153,Random undersampling,426,1000,0.5,0.054,RandomForest,0.46535963063458413,0.1477832512315271,0.08522727272727272,0.5555555555555556,0.6075875029363402,0.11206880379098408,0.648559235768538,0.22123901181842826,-2.8200238490919936,0.6568624553218405
Kidney mortality,0,3,42,153,Random undersampling,426,1000,0.5,0.054,CatBoost,0.4777212576719348,0.16748768472906403,0.09659090909090909,0.6296296296296297,0.6467387048782398,0.09688868506670871,0.6502035862500979,0.23788460990642724,-2.8597385842802163,0.46515994095860924
