dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
Vigitel,Class weighting,RandomForest,15,0.2867273481968549,0.026014464593832703,0.5792578754107895,0.014784670986266903,0.29421374376093146,0.024986291290810637,0.2788877422313955,0.029123844721959252,0.6739766310946205,0.01805631276500945,0.16101957020658814,0.004783047442673552
Vigitel,Random oversampling,CatBoost,15,0.2925318628473466,0.01650059233264171,0.5665250657586546,0.012347574530313283,0.366571144588246,0.015149135937166554,0.5796858158468065,0.025425109861016707,0.6779130890030474,0.01324991883223644,0.20763104127026752,0.005536384051739964
Vigitel,Random oversampling,LogisticRegression,15,0.2741271000502328,0.019096202994452936,0.5714935745010602,0.014677202062853318,0.36187881354257184,0.022356048563638944,0.54323128081642,0.04369633366389776,0.6597344440534374,0.022849932813496843,0.22894745758441057,0.004633890777505819
Vigitel,Random oversampling,RandomForest,15,0.27724618296152265,0.024037111941264965,0.5807410604490196,0.021011857201920815,0.3137685192233875,0.031871067404081056,0.33411535374383666,0.0345530233692681,0.665262723625729,0.02060263026663698,0.17063112627656285,0.006025629593253376
Vigitel,Random undersampling,CatBoost,15,0.28224310011511744,0.024113002466881712,0.5488470300235971,0.009779255720724415,0.369869309156616,0.011465018886026954,0.6552734778121775,0.023407866102501985,0.6765799197967018,0.013275573106828425,0.22916969409283663,0.006611261074034781
Vigitel,Random undersampling,LogisticRegression,15,0.2695117679249512,0.021428043709422473,0.5630957359752798,0.01673573159610306,0.35680584914237967,0.023087006579501773,0.5530329090700608,0.047925163944346934,0.6581658236616822,0.021495780422103004,0.23119901454055947,0.005476157764974311
Vigitel,Random undersampling,RandomForest,15,0.27835263297651924,0.02477850312480129,0.5408474346289545,0.014539198680674,0.36093023122571155,0.016969024200761917,0.6443297786951037,0.03061340737297766,0.6721109122479354,0.019189896998519463,0.22885219930883335,0.005577840090939008
Vigitel,Real only,CatBoost,15,0.29627196282755525,0.01821162019800921,0.4674348043733754,0.01012959145828427,0.029638227100250946,0.020058648449992753,0.015670221304896224,0.010805048971324447,0.6852739621823536,0.014819389704062401,0.1332555915964104,0.0019634241152751315
Vigitel,Real only,LogisticRegression,15,0.274451312993737,0.019883622330860842,0.45359284008347855,0.0014281281370377237,0.0007662835249042146,0.0029678033304271394,0.000392156862745098,0.0015188169985127127,0.6589081515149121,0.022712304390300843,0.1351846202585647,0.0021783546652478607
Vigitel,Real only,RandomForest,15,0.28956512899726766,0.025856024483551236,0.4644244872056205,0.007358095475279334,0.023315085588905233,0.014192491896272131,0.012138516225203531,0.007510637592770532,0.6746139619140832,0.018815612540165682,0.13422006331631994,0.0025166411622524793
Vigitel,SMOTE,CatBoost,15,0.25028990189868094,0.01938906719130026,0.4956627601965616,0.014179763253931138,0.09798313445351907,0.030543618923998823,0.06188510491916065,0.02306205886361876,0.6476940876073556,0.02114805106582253,0.14542694850216825,0.004345179655734029
Vigitel,SMOTE,LogisticRegression,15,0.20621195977442996,0.011027858374222675,0.5108785846737712,0.011556415398018514,0.291727262960377,0.013210605630100233,0.4727989909414058,0.0282693224510305,0.5782801160186676,0.016887513635927144,0.23388285500209968,0.0059297057513232
Vigitel,SMOTE,RandomForest,15,0.24165530229929372,0.016316394845211232,0.5027336643003257,0.009009322916879078,0.1172472722697696,0.016865343785316716,0.07755073959408325,0.012378902404437843,0.6392771269750334,0.01798822331217548,0.14994318869570525,0.0036261311201704633
Vigitel,SepAware CTGAN,CatBoost,15,0.26489580323769213,0.02149794735737666,0.5093957660468532,0.018862607521453065,0.12412241190416086,0.039880284829011535,0.07990138745556702,0.031008361015831983,0.6578273180926426,0.0227808060275647,0.1427081390320136,0.005169790830475327
Vigitel,SepAware CTGAN,LogisticRegression,15,0.2476963831986894,0.02463238551254942,0.5246026948771523,0.018260416329305994,0.31350093232170617,0.023545913525081296,0.5115468409586056,0.03923875848399704,0.601358415287381,0.026304664624905286,0.22816543714808782,0.0059911531253434075
Vigitel,SepAware CTGAN,RandomForest,15,0.2539223690268578,0.02005572755877514,0.5478119402739747,0.018444768071101177,0.21524588160254465,0.0383926134682004,0.16922600619195047,0.040806318026004325,0.6439763928007722,0.022368135264927362,0.1552717558644008,0.006334506830184363
Vigitel,SepAware TVAE,CatBoost,15,0.26891340812082004,0.015155469317026196,0.4867040691416736,0.013939912316847991,0.07468851886324042,0.028432947776743572,0.04388258227267515,0.01832719468049335,0.6737075628351833,0.01786588016720612,0.13852919756341583,0.0036336531803665352
Vigitel,SepAware TVAE,LogisticRegression,15,0.21241158232690777,0.01996794710471817,0.5304599793488433,0.022732652582779126,0.2178860919792149,0.03738442014739826,0.2138585024653136,0.03623540337769748,0.5688581824854297,0.028763051238853116,0.1836373212613921,0.008340742075340217
Vigitel,SepAware TVAE,RandomForest,15,0.27455949573380856,0.022639465773934025,0.4598469541277904,0.005208861765770494,0.015045616753306049,0.009984036747900025,0.007831670679967893,0.005280788603183741,0.6689834275870729,0.01767138247287086,0.13550437358491066,0.0023699231471782283
